SMILES,1A2,2C9,2C19,2D6,3A4
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(N)(=O)=O)[C@@H](O)[C@H]1O,,0,,,
N[C@H]1Oc2ccccc2[C@H](O)S1,,0,,,0
O=P(O)(O)OC[C@H]1O[C@@H](N2C=C[C@@H](O)N=C2O)C[C@@H]1O,,0,,,
Cc1cccc2c1ccn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,,0,,,
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)c2nnnn21,,0,,,
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(CCOCc3cc(F)cc(F)c3)[C@@H](O)CC[C@@H]12,,0,,,
O=C(Cc1ccc(I)cc1)NC[P@H](=O)O,,0,,,
COc1ccccc1/C=C\C(=O)C(=O)O,,0,,0,
IC(I)I,,0,,,
CC(C)[C@H](NC(=O)OC(C)(C)C)c1nnco1,,0,,,
CNCCCC1(c2ccccc2)OC(C)(C)c2ccccc21,,0,,,
O=C1C[C@@]2(C(=O)N1)C(=O)N(Cc1ccc(Br)cc1F)C(=O)c1ccc(F)cc12,,0,,,
O=C(O)CCc1nc2c(=O)[nH]c(=O)[nH]c2n(C[C@H](O)[C@H](O)[C@H](O)CO)c1=O,,0,,,
c1ccc(C2CC2)c(OCC2=NCCN2)c1,,0,,,0
Cc1ncc(COP(=O)(O)O)c(CNC[C@@H](C)OP(=O)(O)O)c1O,,0,,,
C[C@H](Oc1ccc(-c2nc(-c3ccc4[nH]cnc4c3)no2)cc1C(F)(F)F)C(F)(F)F,,0,,,
C1COCCO1,,0,,,
CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,,0,,,
CC(=O)NC[C@H]1CN(c2ccc(-c3ccc(CNCc4cnn[nH]4)cc3)c(F)c2)C(=O)O1,,0,,,
CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,,0,,,
CC(C)c1c(Cc2ccccc2)n(COCc2ccccc2)c(=O)[nH]c1=O,,0,,,
CC(C)n1c(Nc2ccccc2F)nc2cnc(Oc3c(F)cccc3F)nc21,,0,,,
CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,,0,,,
CC1(c2ccc(Oc3ccccc3)cc2)C(=O)NC(=O)NC1=O,,0,,,
CC1(C)CN[Se]c2ccccc21,,0,,,
Cc1c(NC(=O)NC(=O)c2ccc(Cl)cc2Cl)cccc1OCCCCC(=O)O,,0,,,0
Cc1ncccc1OC[C@@H]1CCCN1,,0,,,
Cc1cccc2c1C(=O)N(c1ccnc(Cl)c1)C2=O,,0,,,
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,,0,,,
CCC(=O)O[C@@]1(c2ccccc2)CCN(C)C[C@H]1C,,0,,,
Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,,,1,,1
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,,,1,,1
CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,,,1,,1
CC(OC1OCCN(Cc2n[nH]c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,,1,,1
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,,,1,,1
Cc1cc(C=CC#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,,,1,,1
CC=C1NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,,,1,,1
CCCC[C@@H](C=O)NC(=O)O[C@H](Cc1ccccc1)C(C)C,,,0,,
O=C(O)[C@H](CCCN1C(=O)[C@@]2(N=C1O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)N(O)CO,,,0,,
COc1ccc(CSC[C@H](N=C(O)CCCN)C(O)=NCC(=O)O)cc1,,,0,,
N[C@H](C(=O)O)[C@@H](O)OP(=O)(O)O,,,0,,
CO[C@@H]1[C@H](O)O[C@@H](C)[C@@H](O)[C@H]1O,,,0,,
CO[C@H]1O[C@H](CO)[C@@H](S)[C@H](O)[C@H]1O,,,0,,
CCCCCCCCN[C@@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,,,0,,
OC[C@H]1O[C@@H](S[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,,,0,,
O=S(=O)(O)O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](O)[C@@H]1O,,,0,,
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,,,0,,
Oc1ccc2c(c1)CCN(c1ccccc1)[C@@H]2c1ccc(N2CCN3CCCC[C@H]3C2)cc1,,,0,,
CC[C@H](C)[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)NCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,,,0,,
C[C@H](C=O)CC1CC1,,,0,,
C[C@@H](CS)C(=O)N1CCC[C@H]1C(=O)O,,,0,,
CCN1CCN(Cc2ccc(-c3cc4c(=N[C@H](C)c5ccccc5)nc[nH]c4[nH]3)cc2)CC1,,,0,,
COC(=O)[C@@H](CC(C)C)N(O)C(C)=O,,,0,,
NC(=O)c1cn([C@@H](CO)CCc2ccccc2)cn1,,,0,,0
CC(C)[C@@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1,,,0,,0
N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,,,0,,
CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@H](=O)O,,,0,,
O=C[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1,,,0,,
NN1C(=O)[C@@]2(N=C1O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O,,,0,,
O=c1nc(O)ccn1[C@H]1C[C@H](F)[C@@H](COP(=O)(O)OP(=O)(O)O)O1,,,0,,
O=C(CN1C[C@H](F)[C@@H](NC(=O)c2ccc(Cl)s2)C1)Nc1ccc(-n2ccccc2=O)cc1F,,,0,,
N=c1nc(O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1C=O,,,0,,
C[C@]12C(=O)OC(=O)[C@@]1(C)[C@@H]1CC[C@H]2O1,,,0,,
CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,,,0,,
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)OCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,,,0,,
CSCCC(=O)C1=N/C(=C/c2ccc(O)cc2)C(=O)N1CC=O,,,0,,
C#CC(O)(C=CCl)CC,,,0,,
C=C(C)[C@@H](N=C(O)C(CS)N=C(O)CCCC(N)C(=O)O)C(=O)O,,,0,,0
N=C(N)Nc1ccc(CNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,,,0,,
C[C@@H]1O[C@@H]1P(=O)(O)O,,,0,,
C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,,,0,0,
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,,,0,,
C[C@H](NC(=O)CCC(F)(F)F)C(=O)N[C@@H]1C(=O)N(CCO)c2ncccc2-c2ccccc21,,,0,,
CC(=O)[C@H](C)O,,,0,,
C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,,,0,,
C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)c(Cl)c1,,,0,,
CC(C)(CO)[C@@H](O)C(=O)NCCCO,,,0,,
CC(C)OC(=O)CCC[C@H]1CC[C@H]2[C@H](C[C@@H](O)[C@@H]2/C=C/[C@@H](O)COc2cc(F)ccc2F)OC1,,,0,,0
CC1(C)Nc2nc(N)[nH]c(=O)c2N=C1O,,,0,,
Cc1ncc2c(c1O)COC2c1ccc(Cl)cc1,,,0,,
Cc1ccc(CNS(=O)(=O)c2ccc(S(N)(=O)=O)s2)cc1,,,0,,
Cc1ccc2nc[nH]c2c1,,,0,,
CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,,,0,,
CCc1nc(N)nc(N)c1-c1ccccc1,,,0,,
CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccc(OC)cc1,,,0,,
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@H]1CC=C(CO)C[C@H]21,,,0,,
CCCCCCCCOCCOCCOCCOCCO,,,0,,
C=CCn1c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3)nc2n(CCCC)c1=O,,,0,,
CCCN(C)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,,,0,,
CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,,,0,,
CCCCCCCC(=O)NC(CN1CCCC1)C(O)c1ccc2c(c1)OCCO2,,,,1,1
C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,,,,1,1
COc1cccc(C2(O)CCCCC2CN(C)C)c1,,,,1,1
COc1cc2c(cc1OC)C1CC(OC(=O)C(N)C(C)C)C(CC(C)C)CN1CC2,,,,1,1
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,,,,1,1
COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(CC(NCCCC(=O)O)c3ccccc3)c2=O)c1F,,,,1,1
COc1cccc(N2CCN(C3=Nc4c(F)cccc4C(CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,,,,1,1
CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,,,,1,1
CC1=C(C(=O)O)N[C@H]([C@H](NC(=O)Cc2cccs2)C(=O)O)SC1,,,,0,
CC(O)=N[C@@H]1[C@@H](O)C[C@](Oc2ccc3c(C)cc(=O)oc3c2)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,,,,0,
CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,,,,0,
CN1Cc2ccccc2N[C@@H](CC(=O)O)C1=O,,,,0,
N[C@H]1C[C@@H](N2CCn3c(nnc3C(F)(F)F)C2)CC[C@@H]1c1cc(F)c(F)cc1F,,,,0,
Cc1ccc(S(=O)(=O)N2CCC[C@@H]2C(=O)NCCS)cc1,,,,0,
Cc1c(N2C(=O)[C@@H]3[C@H](O)CCN3C2=O)ccc(C#N)c1Cl,,,,0,
OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,,,,0,
CC(O)=N[C@@H]1[C@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,,,,0,
C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CC[C@@]2(C)O,,,,0,
C[C@@]12C=CC[C@H]1[C@@H]1CC[C@H]3C[C@H](O)CC[C@]3(C)[C@H]1CC2,,,,0,
COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,,,,0,
O=C1c2cc3c(cc2O[C@@H]2CCCN12)OCCO3,,,,0,
CO[C@]12C=C[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,,,,0,
C[C@@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,,,,0,
CCC(CC)NC(=O)C[C@@H](C(N)=O)C(C)(C)C,,,,0,
CC[C@@H](c1ccccc1)c1c(O)c2c(oc1=O)CCCCC2,,,,0,
O=C(O)CC[C@@H](CCc1ccccc1)N=C(O)CCCCCCc1ccccc1,,,,0,
CCCCCCCCCCCCC(=O)O[C@@H](CCCCCCCCCCCC)CC(=O)O,,,,0,0
O=C(O)[C@@H](CS)CCCc1ccccc1,,,,0,
NC1C=CC(CC[C@H](N)C(=O)O)C=C1,,,,0,
CCOP(=O)(OCC)OC[C@H](N)C(=O)O,,,,0,
N[C@@H](C[C@H](O)SC[C@H](N)C(=O)O)C(=O)O,,,,0,
OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,,,0,
CC(C)=CCN1Cc2c(Cl)ccc3[nH]c(=S)n(c23)C[C@@H]1C,,,,0,
