SMILES,1A2,2C9,2C19,2D6,3A4
Cc1ccc(C(=O)Nc2cc(C(=O)N(C)C)cc(-c3ccc(C(=O)NO)cc3)c2)cc1,,,0.0,,
N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CCC2CCCCC2)cc1,,,,0.0,0.0
CC(N)=O,,,,0.0,
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,0.0,0.0,0.0,0.0,0.0
NCc1ccccc1,,,0.0,,
CCCCCCCCO[C@@H]1O[C@H](CO)[C@H](O)C[C@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,,,,0.0,
OC[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@@H]1O,,,0.0,0.0,
CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,,,,,1.0
CC(c1cc2ccccc2s1)N(O)C(N)=O,1.0,1.0,,,1.0
COC(=O)/C=C/c1cccc(N(Cc2ccc(-c3ccc(N(C)C)cc3)cc2)C(=O)C2CCCCC2)c1,,,,,0.0
O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c2c1,,,0.0,0.0,
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,,,,1.0,0.0
CCC(C)C(C)(COC(N)=O)COC(N)=O,,,,,0.0
O=[N+]([O-])c1ccc2c(c1)C(c1ccccc1)=NCC(O)=N2,,,,,1.0
Oc1ncnc2c1N=NC2,,0.0,,,
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,1.0,0.0,1.0,1.0,1.0
c1ccc2cc(COC3CCNCC3)ccc2c1,,0.0,,0.0,0.0
C[C@]12C=CC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,,,,,0.0
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,,1.0,,1.0,1.0
CN1CCC[C@@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,1.0,,1.0,1.0,1.0
Cc1nc2cc3nc(N)[nH]c(=O)c3cc2[nH]1,,,,,0.0
O=C1Nc2ccccc2C1=O,,,0.0,,
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,1.0,,0.0,1.0
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)/C=C/c2ccc(Cl)s2)C1=O,,,,,0.0
C=C(C)C1CC[C@]2(C)CCC[C@](C)(O)C2C1,0.0,0.0,0.0,0.0,0.0
CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,,,,,0.0
CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1,,,,0.0,
N=C(N)c1ccc(CN2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2=O)cc1,,,,0.0,
