SMILES,3A4
CC(C)=CCOc1cc(NC(=S)c2ccoc2C)ccc1Cl,0.0
CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,1.0
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,1.0
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1.0
Cc1cc(CNC(=O)c2cc(C(=O)NCc3ccc(F)c(C)c3)ncn2)ccc1F,0.0
CN1CCC(N(Cc2cccs2)c2ccccc2)CC1,0.0
O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O,0.0
CCCCc1cc2c(=O)c(C(=O)OC)c[nH]c2cc1OCc1ccccc1,0.0
CC(C)c1cnc(Nc2ccc(S(N)(=O)=O)cc2)s1,0.0
N#Cc1cnn(-c2ccc(Cl)cc2)c1N,0.0
C=C1C[C@@]23CCC4[C@](C)(C(=O)O)CCC[C@]4(C)C2CC[C@]1(O)C3,0.0
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](N=C(O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,1.0
CCN(CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12,1.0
O=C(O)CCCC/C=C\CC(=O)CC/C=C/C=C\C(O)CCCC(=O)O,0.0
CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1ccccn1,1.0
Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OC3OC(C)C(=O)C(O)C3O)O2)c(=O)[nH]c1=O,0.0
O=S(=O)(O)O/N=C(/Cc1ccccc1)S[C@@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.0
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(O)=Nc1ccc(C#N)c(C(F)(F)F)c1,1.0
C[C@@](Cc1ccccc1)(NC(=O)CN)c1ccccc1,0.0
COc1ccc2c3c([nH]c2c1)C(C)=NCC3,0.0
CCOCn1oc(=O)c(-c2ccc(F)cc2)c1-c1ccnc(Oc2ccccc2O)n1,0.0
COc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,1.0
CCN(CC)N=O,1.0
Nc1nc(N)c2c(n1)NC[C@@H](c1ccccc1)N2,0.0
Cc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,0.0
CC(C)C12CCC(C)(CC1)O2,1.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,1.0
c1ccc(-c2ccc([C@@H](c3ccccc3)n3ccnc3)cc2)cc1,0.0
C=C1C(O)[C@]23C[C@@]1(O)CCC2[C@]12CC(O)C(O)[C@](C)(C(=O)O1)C2C3C(=O)O,0.0
O=c1nc2[nH][nH]cc-2c(=O)[nH]1,0.0
C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,1.0
C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21,0.0
CC1=CC(=O)c2ccccc2C1=O,0.0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,0.0
O=c1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1,0.0
c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34,1.0
CC(C)(C)NCC(O)COc1cc(Cl)ccc1Cl,0.0
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,0.0
CC(C)NCC(O)COc1cccc2ccccc12,1.0
O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1,0.0
CCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccc(O)c(O)c3)[nH]c(=O)c12,0.0
O=C(O)CCCC(O)/C=C\C=C\C=C\C(O)C/C=C\CCCCC(O)O,0.0
CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,1.0
