SMILES,2C19
CC[C@]1(c2ccccc2)NC(=O)N(C)C1=O,1.0
CN(C)S(=O)(=O)CCNC(=O)N(CCCl)N=O,1.0
OC[C@H]1O[C@H](O)[C@@H](F)[C@@H](O)[C@@H]1O,0.0
CC(=O)OC1CC2[C@]3(C)CCC(OC(=O)CC(=O)O)C(C)(C)C3CC[C@]2(C)[C@@]2(C)CCC([C@]3(C)CCC(C(C)(C)O)O3)C12,0.0
COCc1cc(O)cc2c1O[C@@H](c1ccc(O)cc1)[C@H]1CCC[C@@H]21,0.0
C=CCC(CCC)C(=O)O,0.0
CSCCC(NC=O)C(=O)O,0.0
COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,1.0
CCCC(CCC)C(=O)O,1.0
CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O,0.0
Cc1ncsc1CCCl,1.0
C=C1C[C@@]23C[C@]1(OC1OC(CO)C(O)C(O)C1O)CCC2[C@]12CCC[C@](C)(C(=O)O1)C2C3C(=O)O,0.0
O=C(O)CCC1=C(CC(=O)O)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC(=O)O)c5CCC(=O)O)C(CCC(=O)OO)=C4CC(=O)O)c(CC(=O)O)c3CCC(=O)O,0.0
NC(=O)c1cccc(-c2ccc([C@H](N)Cc3cc(F)ccc3F)cc2)c1,0.0
CN(C)C(=N)NC(=N)N,0.0
CCC(=O)C1CC(C)[C@@]2(CC(=O)[C@]3(C)C4=C(CC[C@@]32C)[C@@]2(C)CCC(O)[C@](C)(CO)C2CC4)O1,0.0
CCOc1ccc2c(Cl)cc(=O)oc2c1,1.0
CCC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,0.0
CCCCCCC/C=C/C=C/C=O,0.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1.0
